	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_165	0.033542	0.014927	0.000167	3e-06	0.034381	1.5e-05	0.024067	0.192619	0.128653	0.347499	0.078341	0.145786	
Sample_166	0.020923	0.009395	0.092812	3e-06	0.067452	1.6e-05	1e-06	0.19989	0.169999	0.26204	0.090858	0.086611	
Sample_167	0.004443	0.012264	0.042927	4e-06	0.115428	2.3e-05	1e-06	0.207394	0.173116	0.283201	0.110662	0.050537	
Sample_168	0.045157	2e-06	0.000173	0.086559	0.064289	0.068619	1e-06	0.194026	0.071928	0.344801	0.039302	0.085143	
Sample_169	0.108495	0.025629	0.000314	0.041607	0.047126	2.5e-05	1e-06	0.180328	0.088663	0.372009	0.044961	0.090842	
Sample_170	0.051569	1e-06	0.000198	4e-06	0.067373	0.049482	0.010175	0.238344	0.106873	0.349896	0.072753	0.053332	
Sample_171	0.054727	1e-06	0.000248	2e-06	0.116907	2.3e-05	1e-06	0.290843	0.111177	0.320636	0.07411	0.031327	
Sample_172	0.151262	0.009594	0.000102	0.011764	0.04223	6e-06	0.004584	0.130767	0.15851	0.318991	0.087832	0.084356	
Sample_173	0.123734	1e-06	0.00014	2e-06	0.030582	1.4e-05	0.008063	0.171782	0.155506	0.377042	0.066182	0.066952	
Sample_174	0.128762	0.00352	0.000177	0.027762	0.037296	1.2e-05	0.0	0.202468	0.162263	0.290382	0.071887	0.07547	
Sample_175	0.144294	0.0	0.000154	0.01283	0.06155	1e-05	0.0	0.17151	0.160413	0.284504	0.086386	0.078349	
Sample_176	0.124047	1e-06	0.000296	4e-06	0.00033	0.068657	1e-06	0.138433	0.16343	0.316323	0.07357	0.114909	
Sample_177	0.155676	1e-06	0.00024	3e-06	0.058763	2.7e-05	1e-06	0.210383	0.137073	0.268309	0.06	0.109526	
Sample_178	0.154289	0.013961	0.00024	4e-06	0.074637	2.3e-05	1e-06	0.235025	0.095322	0.248074	0.064041	0.114383	
Sample_179	0.155462	0.00936	0.000232	2e-06	0.050371	1.6e-05	1e-06	0.19545	0.082959	0.29979	0.085916	0.12044	
Sample_180	0.042664	0.015843	0.000117	3e-06	0.045931	2.2e-05	0.037703	0.165117	0.039374	0.36817	0.109874	0.175182	
Sample_181	0.092437	1e-06	0.000265	4e-06	0.037014	2.8e-05	0.046892	0.177814	0.062173	0.365815	0.051212	0.166345	
Sample_182	0.016546	1e-06	0.000163	3e-06	0.011195	1.3e-05	0.077954	0.199699	0.012634	0.405968	0.063683	0.21214	
Sample_183	0.029886	0.038716	0.000181	4e-06	0.046973	3.6e-05	1e-06	0.184087	0.03957	0.4607	0.021016	0.178831	
Sample_184	0.003574	0.060017	0.04649	0.014633	0.032843	2.7e-05	1e-06	0.217226	0.02101	0.419303	0.021843	0.163035	
Sample_185	0.002838	0.005936	9.3e-05	0.014512	0.05036	0.010226	0.042444	0.230928	0.075068	0.295239	0.052624	0.219733	
Sample_186	0.009536	0.021829	0.000122	6e-06	0.058175	3.1e-05	0.073109	0.204413	0.049499	0.281403	0.08799	0.213888	
Sample_187	0.003723	1e-06	0.000293	4e-06	0.090208	2.9e-05	0.014715	0.217506	0.073857	0.334577	0.03937	0.225717	
Sample_188	0.019259	0.021897	0.000211	2e-06	0.056568	2.5e-05	1e-06	0.230546	0.056904	0.368108	0.00959	0.236891	
Sample_189	0.00271	0.004755	0.000189	4e-06	0.050739	0.073722	1e-06	0.22495	0.118805	0.345159	0.016792	0.162174	
Sample_190	0.002283	2e-06	0.000205	0.05182	0.045153	0.092062	1e-06	0.261799	0.05397	0.307002	0.038706	0.147	
Sample_191	0.002702	1e-06	8.8e-05	7e-06	0.07005	0.074898	0.073443	0.177166	0.015744	0.334595	0.121332	0.129974	
Sample_192	0.010215	0.01651	0.000324	0.028743	0.071517	0.06583	1e-06	0.122279	0.055018	0.332507	0.045066	0.25199	
Sample_193	0.002433	0.0594	0.000159	3e-06	0.043132	0.059757	1e-06	0.127286	0.067077	0.300012	0.108986	0.231753	
Sample_194	0.00617	1e-06	0.051036	0.02021	0.045653	0.049198	0.015153	0.150976	0.047533	0.267573	0.094561	0.251934	
Sample_195	0.005544	0.029574	0.000216	0.042734	0.031977	0.041452	0.027443	0.25338	0.081463	0.202761	0.106352	0.177103	
Sample_196	0.016611	0.006633	0.018861	0.057579	0.051505	2.1e-05	0.006134	0.252459	0.053219	0.241694	0.094623	0.200661	
Sample_197	0.001971	1e-06	0.000291	4e-06	0.040691	3.2e-05	0.045769	0.331658	0.04262	0.272124	0.103536	0.161302	
Sample_198	0.002321	1e-06	0.018218	0.019144	0.032915	1.4e-05	0.029719	0.287931	0.058814	0.279037	0.084631	0.187254	
Sample_199	0.037724	1e-06	0.000242	0.046687	0.058511	2.1e-05	0.0	0.29214	0.086024	0.298474	0.040876	0.1393	
Sample_200	0.014608	0.007158	0.000109	0.009156	0.012339	1.9e-05	0.060986	0.330117	0.036107	0.205498	0.05989	0.264012	
